Year,Total,Births,Deaths
1983,30,0,0
1984,30,5,0
1985,35,10,10
1986,35,10,15
1987,30,15,5
1988,60,25,5
1989,80,25,10
1990,115,35,10
1991,135,40,10
1992,170,45,15
1993,195,60,15
1994,240,65,30
1995,280,70,10
1996,340,75,25
1997,390,105,45
1998,450,100,45
1999,500,110,95
2000,510,125,45
2001,580,130,115
2002,580,135,65
2003,640,130,165
2004,589,130,45
2005,680,130,270
2006,550,140,240
2007,480,110,150
2008,450,130,80
2009,450,130,220
2010,400,100,230
2011,320,105,100
2012,350,100,200
2013,310,60,230
2014,200,60,0
2015,250,0,80
